rawData	tokens	sentiment	Category
BREAKING: President Volodymyr Zelenksy says Russia leaders approved war against Ukraine - agencies.	breaking president volodymyr zelenksy say russia leader approved war ukraine agency	-0.2732	Neutral
BREAKING: Putin orders Russian troops into Ukraine Eastern Region of Donetsk and Luhansk for peace mission.	breaking putin order troop ukraine eastern region donetsk luhansk peace mission	0.5423	Positive
BREAKING: Putin orders Russian troops to Donetsk and Luhansk
BREAKING: Putin withdraws invasion in Ukraine after breaking down into tears from this heartfelt poem. He displayed it to all Russian and Ukrainian military troops on a giant projector in which they decided to make love not war https://t.co/CiSzVgU3qP	breaking putin withdraws invasion ukraine breaking tear heartfelt poem displayed ukrainian military troop giant projector decided make love war	0.8734	Positive
BREAKING: Report says US believes Russia will invade Ukraine next week https://t.co/rEBiLbkkpn via @NewsNowUK TROOPS NEED 2-3 DAYS REST AFTER FINAL DRILLS	breaking report say u belief russia invade ukraine next week via troop day rest final drill	0.0	Neutral
BREAKING: Russia boosted its forces on #Ukraine border over weekend: Pentagon https://t.co/tGwCYAoRU8	breaking russia boosted force ukraine border weekend pentagon	0.3612	Neutral
BREAKING: Russia claims to be removing troops from the Ukraine border... Into Ukraine	breaking russia claim removing troop ukraine border ukraine	0.0	Neutral
BREAKING: Russia says 498 of its troops killed in Ukraine
BREAKING: Russia used vacuum bomb on Monday
BREAKING: Russian Commander has been given Orders to Invade Ukraine!	breaking commander given order invade ukraine	0.0	Neutral
BREAKING: Russian President Vladimir Putin says the U.S. and its allies have ignored Russia's main security demands in his first comments on the standoff with the West over Ukraine in more than a month. Putin's demands included limits on NATO expansion. https://t.co/FYduhRSB0X	breaking president vladimir putin say u ally ignored russia main security demand first comment standoff west ukraine month putin demand included limit nato expansion	0.0258	Neutral
BREAKING: Russian Troops Leaving Ukraine Border | Latest Celebrity News
BREAKING: Russian forces ordered to dress as birthday cakes in order to ambush Boris Johnson's troops.	breaking force ordered dress birthday cake order ambush boris johnson troop	0.0	Neutral
BREAKING: Russian invasion of Ukraine possibly imminent as US commit troops and evacuate embassies 🇺🇦🇷🇺🇺🇸	breaking invasion ukraine possibly imminent u commit troop evacuate embassy	0.296	Neutral
BREAKING: Russian ministry of defence says some troops have begun returning to their permanent bases from the Ukraine border.	breaking ministry defence say troop begun returning permanent base ukraine border	0.1027	Neutral
BREAKING: Russian troops have conquered Kyiv
BREAKING: State Department advises Americans to leave Ukraine on commercial flights	breaking state department advises american leave ukraine commercial flight	-0.0516	Neutral
BREAKING: Statement by NATO Defence Ministers on the situation in and around #Ukraine: 'Russia’s actions pose a serious threat to Euro-Atlantic security.⬇️ https://t.co/Q6u2xbfOd5	breaking statement nato defence minister situation around ukraine russia action pose serious threat euroatlantic security	-0.2263	Neutral
BREAKING: THE WASHINGTON POST REPORTS US INTELLIGENCE IS THAT RUSSIA'S WITHDRAWAL FROM UKRAINE BORDER WAS A 'DELIBERATE RUSE' TO MISLEAD WASHINGTON AND OTHER WORLD POWERS	breaking washington post report u intelligence russia withdrawal ukraine border deliberate ruse mislead washington world power	0.4939	Neutral
BREAKING: The Pentagon says that Defense Secretary Lloyd Austin has put up to 8
BREAKING: Trudeau takes hardline approach against Russia
BREAKING: US Secretary of State Anthony Blinken said after talks in Geneva with Russian Foreign Minister Sergei Lavrov that he heard Lavrov's words about Russia's lack of plans to invade Ukraine
BREAKING: US official: Russia has added as many as 7
BREAKING: US will dress its troops in Europe as RUSSIAN military and invade Ukraine within the coming week if Putin keeps procrastinating.	breaking u dress troop europe military invade ukraine within coming week putin keep procrastinating	0.0	Neutral
BREAKING: USA send Ukraine 20 x-bows
BREAKING: Ukraine has reportedly started a counter-offensive in the Kharkiv region.	breaking ukraine reportedly started counteroffensive kharkiv region	0.0	Neutral
BREAKING: White House: To be clear: these measures are separate from and would be in addition to the swift and severe economic measures we have been preparing in coordination with Allies and partners should Russia further invade Ukraine. #Ukraine⬇️ https://t.co/2BLQsenulZ https://t.co/P2mNb8wJ5c	breaking white house clear measure separate addition swift severe economic measure preparing coordination ally partner russia invade ukraine ukraine	0.2023	Neutral
BREAKING: “RUSSIANS ARE 1 FOOT CLOSER TO UKRAINE BORDER” - US OFFICIAL	breaking russian foot closer ukraine border u official	0.0	Neutral
BRUSSELS — NATO foreign ministers met virtually on Friday to prepare their responses to Russia’s ongoing military buildup near Ukraine amid general skepticism about Moscow’s willingness to de-escalate and negotiate in earnest.	brussels nato foreign minister met virtually friday prepare response russia ongoing military buildup near ukraine amid general skepticism moscow willingness deescalate negotiate earnest	0.5267	Positive
BRUSSELS: NATO dismissed idea of creating no-fly zone over Ukraine. Alliance again stressed no NATO troops will be touching Ukrainian soil saying direct intervention would have it spread to other countries.	brussels nato dismissed idea creating nofly zone ukraine alliance stressed nato troop touching ukrainian soil saying direct intervention spread country	-0.34	Neutral
BT have also made all calls texts and data to and from Ukraine FREE from their Mobile AND landline network.	bt also made call text data ukraine free mobile landline network	0.5106	Positive
BTO SLEEPY JOE THE HOE BIDEN STOP AND BRING OUR TROOPS HOME THIS HAS NOTHING TO DO WITH US AND STOP SEND MORE MONEY TO UKRAINE IT DON'T HELP THE PEOPLE CAUSE THEY AIN'T GETTING OF IT	bto sleepy joe hoe biden stop bring troop home nothing u stop send money ukraine dont help people cause aint getting	-0.6866	Negative
